Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Viscaria vulgaris,"TI=""Viscaria vulgaris"" OR AB=""Viscaria vulgaris"" OR AK=""Viscaria vulgaris""",Michael,20,
Cerastium arvense,"TI=""Cerastium arvense"" OR AB=""Cerastium arvense"" OR AK=""Cerastium arvense""",Michael,19,
Dianthus caryophyllus,"TI=""Dianthus caryophyllus"" OR AB=""Dianthus caryophyllus"" OR AK=""Dianthus caryophyllus""",Michael,582,
Cerastium fontanum,"TI=""Cerastium fontanum"" OR AB=""Cerastium fontanum"" OR AK=""Cerastium fontanum""",Michael,36,
Stellaria longifolia,"TI=""Stellaria longifolia"" OR AB=""Stellaria longifolia"" OR AK=""Stellaria longifolia""",Michael,0,
Paronychia canadensis,"TI=""Paronychia canadensis"" OR AB=""Paronychia canadensis"" OR AK=""Paronychia canadensis""",Michael,1,
Silene flos-cuculi,"TI=""Silene flos-cuculi"" OR AB=""Silene flos-cuculi"" OR AK=""Silene flos-cuculi""",Michael,6,synonym as Lychnis flos-cuculi has 46
Stellaria brachypetala,"TI=""Stellaria brachypetala"" OR AB=""Stellaria brachypetala"" OR AK=""Stellaria brachypetala""",Michael,0,
Dianthus barbatus,"TI=""Dianthus barbatus"" OR AB=""Dianthus barbatus"" OR AK=""Dianthus barbatus""",Michael,25,
Gypsophila paniculata,"TI=""Gypsophila paniculata"" OR AB=""Gypsophila paniculata"" OR AK=""Gypsophila paniculata""",Michael,130,
Stellaria aquatica,"TI=""Stellaria aquatica"" OR AB=""Stellaria aquatica"" OR AK=""Stellaria aquatica""",Michael,7,
Stellaria media,"TI=""Stellaria media"" OR AB=""Stellaria media"" OR AK=""Stellaria media""",Michael,379,
Silene grayi,"TI=""Silene grayi"" OR AB=""Silene grayi"" OR AK=""Silene grayi""",Michael,0,
Silene antirrhina,"TI=""Silene antirrhina"" OR AB=""Silene antirrhina"" OR AK=""Silene antirrhina""",Michael,3,
Silene chalcedonica,"TI=""Silene chalcedonica"" OR AB=""Silene chalcedonica"" OR AK=""Silene chalcedonica""",Michael,1,
Stellaria longipes,"TI=""Stellaria longipes"" OR AB=""Stellaria longipes"" OR AK=""Stellaria longipes""",Michael,58,
Stellaria graminea,"TI=""Stellaria graminea"" OR AB=""Stellaria graminea"" OR AK=""Stellaria graminea""",Michael,11,
Silene gallica,"TI=""Silene gallica"" OR AB=""Silene gallica"" OR AK=""Silene gallica""",Michael,10,
