,Primate_host,Mating_System,Presence_of_Mating_Season,Mating_Season_Length,Presence_of_Birthing_Season,Birth_Season_Length,Gestation_Period,Male_kg,Female_kg,Mean_lat_GMPD,GMPD_citations,WoS_citations,Total_PSR,Chao_PSR,TotaltrepPrev,TotalSIVPrev,SexualPSR,VerticalPSR,directPSR,indirectPSR,ClosePSR,NonclosePSR,VectorPSR,IntermediatePSR,Sexual_chao,Vertical_chao,Direct_chao,Indirect_chao,CloseT_chao,Nonclose_chao,Vector_chao,Intermediate_chao,BE07phy_species,TenkTr_species
1,Allenopithecus_nigroviridis,Polygamy,NA,NA,NA,NA,NA,6.13,3.18,0.028866667,3,19,4,10,NA,NA,2,2,4,NA,4,NA,NA,NA,3,3,10,NA,10,NA,NA,NA,Allenopithecus_nigroviridis,Allenopithecus_nigroviridis
2,Alouatta_belzebul,Polygyny,N,12,N,12,187,7.27,5.52,-5.577142857,9,39,10,16,NA,NA,NA,NA,4,7,1,2,5,1,NA,NA,8.5,11,NA,2.5,6,NA,Alouatta_belzebul,Alouatta_belzebul
3,Alouatta_caraya,Polygamy,N,12,Y,5,182,6.42,4.33,-16.46863618,21,227,35,165.6666667,NA,NA,NA,NA,17,19,8,11,11,5,NA,NA,129.5,68,26,61,27,8,Alouatta_caraya,Alouatta_caraya
4,Alouatta_palliata,Polygyny,N,12,N,12,186,7.15,5.35,11.17869287,28,407,34,61.5625,NA,NA,NA,1,20,16,5,12,11,4,NA,NA,52.66666667,22.4,11,48,13.5,7,Alouatta_palliata,Alouatta_palliata
5,Alouatta_seniculus,Polygyny,N,12,N,12,182,6.69,5.21,2.139206349,25,171,45,141.3333333,NA,NA,NA,NA,20,26,10,15,18,6,NA,NA,62.66666667,66.5,22.25,51,60.25,14,Alouatta_seniculus,Alouatta_seniculus
6,Alouatta_villosa,Polygyny,N,12,N,12,180,11.4,6.43,17.50782067,11,7,18,130.5,NA,NA,NA,NA,13,6,3,10,3,2,NA,NA,73.5,16,3.5,42,6,2,Alouatta_pigra,Alouatta_villosa
7,Aotus_azarae,Monogamy,Y,5,Y,3.5,133,1.18,1.23,-11.23497692,8,74,22,253,NA,NA,NA,NA,10,12,4,5,6,5,NA,NA,55,78,10,15,21,15,Aotus_azarai,Aotus_azarae
8,Aotus_trivirgatus,Monogamy,N,12,N,NA,138,0.813,0.736,0.445767143,13,257,17,49.66666667,NA,NA,NA,NA,7,11,4,7,6,4,NA,NA,25,31.25,8.5,25,10,10,Aotus_trivirgatus,Aotus_trivirgatus
9,Ateles_belzebuth,Polygamy,N,12,N,12,NA,8.29,7.85,2.111985714,5,75,8,32.5,NA,NA,NA,NA,7,2,4,6,1,NA,NA,NA,28,2.5,10,21,NA,NA,Ateles_belzebuth,Ateles_belzebuth
10,Ateles_fusciceps,Polygamy,N,12,N,12,229,8.89,9.16,8.74,5,34,10,26,NA,NA,NA,NA,3,7,1,3,6,1,NA,NA,6,13.25,NA,6,10,NA,Ateles_fusciceps,Ateles_fusciceps
11,Ateles_geoffroyi,Polyandry,Y,6,Y,6,226,7.78,7.29,9.536824837,9,363,12,14.08333333,NA,NA,NA,NA,4,9,2,4,7,1,NA,NA,8.5,9.9,2.5,8.5,7.1,NA,Ateles_geoffroyi,Ateles_geoffroyi
12,Ateles_paniscus,Polyandry,N,12,N,12,NA,9.11,8.44,-4.948866667,19,91,16,88,NA,NA,NA,NA,4,13,2,5,11,NA,NA,NA,7,63,2,11,43,NA,Ateles_paniscus,Ateles_paniscus
13,Avahi_laniger,Monogamy,Y,2,Y,2,NA,1.03,1.32,-18.355625,6,27,11,61,NA,NA,NA,NA,8,2,3,6,2,NA,NA,NA,32.5,3,6,18.5,3,NA,Avahi_laniger,Avahi_laniger
14,Brachyteles_arachnoides,Polygamy,Y,8,Y,4,216.4,9.61,8.07,-15.74333333,7,91,7,11,NA,NA,NA,NA,4,4,3,3,2,1,NA,NA,7,5,4,4,2,NA,Brachyteles_arachnoides,Brachyteles_arachnoides
15,Cacajao_melanocephalus,Polygamy,Y,NA,Y,NA,NA,3.16,2.71,-3.42,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cacajao_melanocephalus,Cacajao_melanocephalus
16,Callicebus_moloch,Monogamy,NA,NA,Y,5,NA,1.02,0.956,-14.50724,6,65,3,3.5,NA,NA,NA,NA,1,2,1,1,2,NA,NA,NA,NA,2.5,NA,NA,2.5,NA,Callicebus_moloch,Callicebus_moloch
17,Callimico_goeldii,Polygamy,NA,NA,Y,4,155,0.499,0.468,NA,2,146,5,15,NA,NA,NA,NA,2,3,1,2,NA,3,NA,NA,3,6,NA,3,NA,6,Callimico_goeldii,Callimico_goeldii
18,Callithrix_argentata,Monogamy,N,12,N,12,145,0.33,0.36,-7.79,5,20,6,10,NA,NA,NA,NA,1,5,1,NA,5,NA,NA,NA,NA,7.25,NA,NA,7.25,NA,Callithrix_argentata,Callithrix_argentata
19,Callithrix_jacchus,Monogamy,N,12,Y,10,148,0.317,0.324,-14.82761477,14,2356,19,61.25,NA,NA,NA,NA,6,13,3,5,5,8,NA,NA,16,29,4,11,7,26,Callithrix_jacchus,Callithrix_jacchus
20,Cebuella_pygmaea,Polygyny,N,12,N,12,125,0.11,0.122,-7.72912,4,80,5,15,NA,NA,NA,NA,1,4,1,NA,3,1,NA,NA,NA,10,NA,NA,6,NA,Callithrix_pygmaea,Cebuella_pygmaea
